,Homosexuality,Gay Marriage,Censorship,Changing Gender,Non-binary gender recognition,Discrimination,Employment Discrimination,Housing Discrimination,Adoption,Military,Donating Blood,Conversion Therapy,Age of Consent
cyprus,✔ Legal,✖ Civil unions,✔ No censorship,Ambiguous,✖ Not legally recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Illegal,✔ Legal,✖ Banned (6-month deferral),✔ Banned,✔ Equal
czech-republic,✔ Legal,✖ Other type of partnership,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,✔ Legal,✖ Banned (1-year deferral),✖ Not banned,✔ Equal
denmark,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, surgery not required",✔ Recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✔ Legal,✖ Banned (3-month deferral),✖ Not banned,✔ Equal
estonia,✔ Legal,✖ Civil unions,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Step-child adoption only,✔ Legal,✖ Banned (3-month deferral),✖ Not banned,✔ Equal
finland,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✔ Legal,✖ Banned (3-month deferral),✖ Not banned,✔ Equal
france,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✔ Legal,✔ Legal,✔ Banned,✔ Equal
georgia,✔ Legal,✖ Not legal,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
germany,✔ Legal,✔ Legal,✔ No censorship,"✖ Legal, but requires medical diagnosis",✖ Intersex only,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✔ Legal,✔ Legal,✔ Banned,✔ Equal
greece,✔ Legal,✖ Civil unions,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,✖ No protections,Ambiguous,✔ Legal,✔ Legal,✔ Banned,✔ Equal
hungary,✔ Legal,✖ Civil unions,✖ Fine as punishment,✖ Illegal,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
iceland,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, surgery not required",✔ Recognized,✔ Illegal,✔ Sexual orientation and gender identity,Ambiguous,✔ Legal,N/A,✖ Banned (3-month deferral),✔ Banned,✔ Equal
ireland,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✔ Illegal,✖ Sexual orientation only,✖ Sexual orientation only,✔ Legal,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
italy,✔ Legal,✖ Civil unions,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✖ No protections,✖ Sexual orientation only,✖ No protections,✖ Step-child adoption only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
kosovo,✔ Legal,✖ Unrecognized,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
latvia,✔ Legal,✖ Civil unions,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ No protections,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
liechtenstein,✔ Legal,✖ Civil unions,✔ No censorship,✖ Illegal,✖ Not legally recognized,✖ Illegal in some contexts,✖ No protections,✖ No protections,✔ Legal,N/A,✔ Legal,Ambiguous,✔ Equal
lithuania,✔ Legal,✖ Unrecognized,✖ Other punishment,"✔ Legal, surgery not required",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
luxembourg,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✖ Sexual orientation only,✔ Legal,✔ Legal,✖ Banned (1-year deferral),✖ Not banned,✔ Equal
malta,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, surgery not required",✔ Recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✔ Legal,✔ Legal,✔ Banned,✔ Equal
moldova,✔ Legal,✖ Unrecognized,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
monaco,✔ Legal,✖ Other type of partnership,✔ No censorship,✖ Illegal,✖ Not legally recognized,✖ Illegal in some contexts,✖ No protections,✖ No protections,✖ Illegal,N/A,✔ Legal,✖ Not banned,✔ Equal
montenegro,✔ Legal,✖ Civil unions,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
netherlands,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, surgery not required",✖ Intersex only,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✔ Legal,✔ Legal with restrictions,✖ Not banned,✔ Equal
macedonia,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✖ Not legally recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
norway,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✔ Legal,✖ Banned (1-year deferral),✖ Not banned,✔ Equal
poland,✔ Legal,✖ Unregistered cohabitation,✔ No censorship,"✖ Legal, but requires medical diagnosis",✖ Not legally recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,✖ No protections,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
portugal,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
romania,✔ Legal,✖ Not legal,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✔ Sexual orientation and gender identity,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
russia,✔ Legal,✖ Not legal,✖ Fine as punishment,✖ Illegal,✖ Not legally recognized,✖ Illegal in some contexts,✖ No protections,Ambiguous,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
san-marino,✔ Legal,✖ Civil unions,✔ No censorship,✖ Illegal,✖ Not legally recognized,✔ Illegal,✖ Sexual orientation only,✖ Sexual orientation only,✖ Step-child adoption only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
serbia,✔ Legal,✖ Not legal,✔ No censorship,"✖ Legal, but requires medical diagnosis",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Illegal,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✖ Banned (6-month deferral),✖ Not banned,✔ Equal
slovakia,✔ Legal,✖ Not legal,✔ No censorship,✖ Illegal,✖ Not legally recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,✖ Sexual orientation only,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✖ Banned (1-year deferral),✖ Not banned,✔ Equal
slovenia,✔ Legal,✔ Legal,✔ No censorship,"✖ Legal, but requires medical diagnosis",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
spain,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✔ Legal,✔ Legal,✔ Banned,✔ Equal
sweden,✔ Legal,✔ Legal,✔ No censorship,"✖ Legal, but requires medical diagnosis",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✔ Legal,✖ Banned (6-month deferral),✖ Not banned,✔ Equal
switzerland,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✖ Illegal in some contexts,✖ No protections,✖ No protections,✔ Legal,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
turkey,✔ Legal,✖ Unrecognized,✖ State-enforced,"✖ Legal, but requires surgery",✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ No protections,✖ Single only,✖ Illegal,✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
ukraine,✔ Legal,✖ Unrecognized,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,✖ No protections,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
united-kingdom,✔ Legal,✔ Legal,✔ No censorship,"✖ Legal, but requires medical diagnosis",✖ Not legally recognized,Varies by Region,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
vatican-city,✔ Legal,✖ Not legal,✖ Other punishment,✖ Illegal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
antigua-and-barbuda,✔ Legal,✖ Foreign same-sex marriages recognized only,✔ No censorship,✖ Illegal,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,✔ Legal,✔ Legal,Ambiguous,✔ Equal
bahamas,✔ Legal,✖ Not legal,✔ No censorship,✖ Illegal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ Sexual orientation only,✖ Single only,✔ Legal,✔ Legal,✖ Not banned,✖ Unequal
barbados,✔ Legal,✖ Foreign same-sex marriages recognized only,✔ No censorship,✖ Illegal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ No protections,✖ Single only,✔ Legal,✔ Legal,Ambiguous,✔ Equal
belize,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Ambiguous,✔ Legal,✖ Not banned,✔ Equal
canada,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, surgery not required",✔ Recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✔ Legal,✔ Legal,✔ Banned,✔ Equal
costa-rica,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, surgery not required",Ambiguous,✖ Illegal in some contexts,✖ Sexual orientation only,✖ No protections,✔ Legal,N/A,✔ Legal,✖ Not banned,✔ Equal
cuba,✔ Legal,✔ Legal,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✔ Legal,✔ Legal,✔ Legal,✖ Not banned,✔ Equal
dominican-republic,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✖ Not legally recognized,✖ Illegal in some contexts,Ambiguous,✖ No protections,✖ Single only,✖ Illegal,✔ Legal,✖ Not banned,✔ Equal
el-salvador,✔ Legal,"✖ Unrecognized, same-sex marriage and civil unions banned",✔ No censorship,✖ Illegal,✖ Not legally recognized,✖ Illegal in some contexts,✔ Sexual orientation and gender identity,✖ No protections,✖ Illegal,"✖ Don't Ask, Don't Tell",✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
guatemala,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",Ambiguous,✖ Not banned,✔ Equal
haiti,✔ Legal,✖ Not legal,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✖ No protections,Ambiguous,✖ No protections,✖ Single only,N/A,✔ Legal,✖ Not banned,✔ Equal
honduras,✔ Legal,✖ Not legal,✔ No censorship,Ambiguous,✖ Not legally recognized,✔ Illegal,✔ Sexual orientation and gender identity,✔ Sexual orientation and gender identity,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
mexico,✔ Legal,✔ Legal,✔ No censorship,"✔ Legal, surgery not required",✔ Recognized,✔ Illegal,✖ Sexual orientation only,✖ Sexual orientation only,Varies by Region,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,Varies by Region,✔ Equal
nicaragua,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ No protections,✖ Single only,✖ Illegal,✔ Legal,✖ Not banned,✔ Equal
panama,✔ Legal,✖ Not legal,✔ No censorship,"✖ Legal, but requires surgery",✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,N/A,✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
saint-kitts-and-nevis,✔ Legal,✖ Foreign same-sex marriages recognized only,✔ No censorship,✖ Illegal,✖ Not legally recognized,✖ Illegal in some contexts,✖ No protections,✖ No protections,✖ Single only,✔ Legal,✔ Legal,Ambiguous,✔ Equal
trinidad-and-tobago,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,✔ Legal,✖ Banned (3-month deferral),Ambiguous,✔ Equal
united-states,✔ Legal,✔ Legal,Varies by Region,Varies by Region,Varies by Region,Varies by Region,Varies by Region,Varies by Region,✔ Legal,✔ Legal,✔ Legal,Varies by Region,✔ Equal
angola,✔ Legal,✖ Unrecognized,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ No protections,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
benin,✔ Legal,✖ Unrecognized,✔ No censorship,N/A,Unknown,✖ No protections,✖ No protections,✖ No protections,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,Ambiguous,✖ Unequal
botswana,✔ Legal,✖ Unrecognized,✔ No censorship,"✔ Legal, surgery not required",✖ Not legally recognized,✔ Illegal,✖ Sexual orientation only,✔ Sexual orientation and gender identity,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
burkina-faso,✔ Legal,✖ Not legal,✔ No censorship,Ambiguous,Unknown,✖ Illegal in some contexts,✖ No protections,Ambiguous,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
cape-verde,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✖ Not legally recognized,✖ Illegal in some contexts,✖ Sexual orientation only,✖ Sexual orientation only,✖ Single only,Ambiguous,Ambiguous,✖ Not banned,✔ Equal
central-african-republic,✔ Legal,✖ Not legal,✖ Imprisonment as punishment,✖ Illegal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,Ambiguous,✖ Banned (indefinite deferral),✖ Not banned,✔ Equal
cote-divoire,✔ Legal,✖ Unrecognized,Ambiguous,Ambiguous,Unknown,✖ No protections,✖ No protections,✖ No protections,✖ Single only,"✖ Don't Ask, Don't Tell",✖ Banned (indefinite deferral),N/A,✖ Unequal
democratic-republic-of-the-congo,✔ Legal,✖ Not legal,✖ Imprisonment as punishment,✖ Illegal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,✖ Illegal,✔ Legal,✖ Not banned,✔ Equal
djibouti,✔ Legal,✖ Unrecognized,✖ State-enforced,✖ Illegal,Unknown,✖ No protections,✖ No protections,✖ No protections,✖ Illegal,Unknown,Ambiguous,✖ Not banned,✔ Equal
equatorial-guinea,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✖ Not legally recognized,✖ No protections,✖ No protections,✖ No protections,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
gabon,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,Unknown,✖ No protections,✖ No protections,Ambiguous,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✖ Unequal
guinea-bissau,✔ Legal,✖ Unrecognized,✔ No censorship,Ambiguous,Unknown,✖ No protections,✖ No protections,✖ No protections,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
lesotho,✔ Legal,✖ Unrecognized,✔ No censorship,"✖ Legal, but requires surgery",Unknown,✖ Illegal in some contexts,✖ No protections,Ambiguous,✖ Illegal,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✔ Equal
madagascar,✔ Legal,✖ Unrecognized,✔ No censorship,✖ Illegal,✖ Not legally recognized,✖ Illegal in some contexts,✖ No protections,✖ No protections,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,✖ Not banned,✖ Unequal
mali,✔ Legal,✖ Not legal,✔ No censorship,Ambiguous,Unknown,✖ No protections,✖ No protections,✖ No protections,✖ Single only,"✖ Lesbians, gays, bisexuals permitted, transgender people banned",✔ Legal,Ambiguous,✔ Equal
